"Гарри Поттер и Дары Смерти";"Роулинг Д.";"РОСМЭН";"978-5-353-02907-6";"В 7-й, финальной книге Дж.К.Ролинг раскрывает все магические тайны.";"Гарри Поттера ждет самое страшное испытание в жизни - смертельная схватка с Волан-де-Мортом. Ждать помощи не от кого - Гарри одинок как никогда…";"C:\FirstFX-application\src\main\resources\Harry.jpg";"C:\FirstFX-application\src\main\resources\Harry2.jpg";"5";"READING"
"Гарри Поттер и Принц-полукровка";"Роулинг Д.";"РОСМЭН";"978-5-353-02187-2";"Классная книжонка.";"Министерство магии терпит поражение за поражением в битвах с Волан-де-Мортом. Даже маглы страдают от второй войны - каждый день происходят катастрофы, причины которых никому не ведомы. ";"C:\FirstFX-application\src\main\resources\Harry3.jpg";"C:\FirstFX-application\src\main\resources\Harry4.jpg";"4";"WILL_READ"
